"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.66267239771342e-289,0.299422527343707,0.465,0.238,6.36698223741233e-285,"HSC/MPP","MAP7"
1.18614891751064e-288,0.324959911445111,0.55,0.305,2.83631929155144e-284,"HSC/MPP","BCL2"
3.1355513360501e-288,0.252409207264729,1,1,7.49773035476299e-284,"HSC/MPP","RPS6"
5.86942793688489e-288,0.264367667943039,0.328,0.137,1.40349760826791e-283,"HSC/MPP","ITGA9"
7.87956761127995e-288,0.350076791121944,0.995,0.956,1.88416220720926e-283,"HSC/MPP","SNHG29"
5.61508414353943e-275,0.299252968826432,0.532,0.288,1.34267892040315e-270,"HSC/MPP","CD52"
7.63495301577709e-271,-0.539223125387882,0.11,0.321,1.82566996513262e-266,"HSC/MPP","PAG1"
8.61538207287174e-269,0.303003426676574,0.427,0.22,2.06011016126509e-264,"HSC/MPP","PLAGL1"
5.64187598504367e-263,-1.22739285597457,0.171,0.369,1.34908538554364e-258,"HSC/MPP","BACH2"
3.65234406779945e-262,0.301796986974211,0.49,0.269,8.73348513492204e-258,"HSC/MPP","DOCK5"
9.56233466721015e-260,0.266202174145127,0.326,0.141,2.28654546562329e-255,"HSC/MPP","LINC01122"
3.16515143945678e-258,-0.502352045319887,0.163,0.372,7.56851012202905e-254,"HSC/MPP","GLRX"
2.18568622032895e-255,0.299374827161748,0.668,0.417,5.22641289005059e-251,"HSC/MPP","CD44"
2.2659893312113e-254,-0.57294008336112,0.203,0.413,5.41843368879246e-250,"HSC/MPP","BTG1"
2.82866327907283e-253,0.257632675810859,0.254,0.098,6.76389963291896e-249,"HSC/MPP","S100Z"
6.03483477117851e-253,0.376404716323733,0.782,0.582,1.44304969048421e-248,"HSC/MPP","SMYD3"
7.29386456310252e-248,0.254629043115475,0.411,0.206,1.74410889432907e-243,"HSC/MPP","TNFSF13B"
1.67972428023738e-246,-0.522831845150976,0.009,0.174,4.01655669890363e-242,"HSC/MPP","CD24"
4.44509144227197e-246,0.290250593265216,0.999,0.959,1.06291026567607e-241,"HSC/MPP","EEF1B2"
9.6746156442631e-246,0.355281300711056,0.763,0.557,2.31339409285619e-241,"HSC/MPP","ANKRD28"
1.36464309800943e-245,0.3139634726073,0.734,0.509,3.26313457596015e-241,"HSC/MPP","DNAJC1"
4.4515245855008e-244,-0.664409472751486,0.225,0.422,1.06444855888495e-239,"HSC/MPP","TOP2B"
2.54392192673155e-240,0.276942208655897,0.377,0.189,6.08302611120048e-236,"HSC/MPP","ZNRF1"
3.33618153004138e-237,-0.600375434808057,0.169,0.367,7.97747727463495e-233,"HSC/MPP","CCND3"
1.46140043613125e-233,0.290331159655333,0.979,0.913,3.49450072287704e-229,"HSC/MPP","EEF2"
1.10464912088672e-232,-0.921702040999501,0.316,0.482,2.64143697786432e-228,"HSC/MPP","LAPTM5"
8.83349843214425e-232,-0.549200070778279,0.161,0.354,2.11226614509433e-227,"HSC/MPP","GNG7"
1.1865572429656e-231,-0.527826205677566,0.006,0.161,2.83729567937934e-227,"HSC/MPP","RYR3"
1.24439416139684e-230,-0.332272603110929,0.01,0.168,2.97559531873211e-226,"HSC/MPP","NIBAN3"
1.96368881405567e-229,-0.361089246151738,0.005,0.157,4.69557269216991e-225,"HSC/MPP","PAX5"
3.4808251065361e-227,-1.69981898688834,0.032,0.198,8.32334899474911e-223,"HSC/MPP","LYZ"
6.90091090508457e-227,-0.354019263225456,0.004,0.154,1.65014581562382e-222,"HSC/MPP","CYGB"
2.4472171687618e-226,-0.300510992582885,0.005,0.155,5.85178569394321e-222,"HSC/MPP","LCN6"
3.41578822745714e-224,0.267136844074535,0.776,0.526,8.16783280949551e-220,"HSC/MPP","SERPINB1"
1.84041871399395e-223,0.282508391910277,0.399,0.209,4.40080922890232e-219,"HSC/MPP","COL24A1"
2.55311685914975e-223,0.263145775726927,0.435,0.238,6.10501303359889e-219,"HSC/MPP","MCTP1"
9.01783259571277e-223,0.27422462912373,0.478,0.271,2.15634413028684e-218,"HSC/MPP","FRMD4B"
5.21373039086923e-222,-0.57485113922413,0.124,0.311,1.24670721106465e-217,"HSC/MPP","FOXO1"
1.65588846526591e-221,-1.08193272643015,0.357,0.504,3.95956049814384e-217,"HSC/MPP","SRGN"
2.11194150273338e-221,-0.387222612911304,0.844,0.885,5.05007452133605e-217,"HSC/MPP","ATP5F1E"
8.09542200408704e-220,-0.561853119697911,0.021,0.178,1.93577730961729e-215,"HSC/MPP","CD9"
1.24959153813568e-219,0.302688928315154,0.517,0.319,2.98802328599004e-215,"HSC/MPP","SDCCAG8"
9.95500818591643e-219,-0.312495491295671,0.017,0.173,2.38044155741634e-214,"HSC/MPP","SLC8A1"
3.34413504701084e-217,0.287672131893656,0.464,0.26,7.99649572441233e-213,"HSC/MPP","NEGR1"
1.70158659761787e-216,-0.44699061114937,0.476,0.635,4.06883387222384e-212,"HSC/MPP","SEC61B"
6.18780217122378e-216,-0.379067729077775,0.902,0.924,1.47962725518303e-211,"HSC/MPP","SERF2"
4.02866579386292e-215,-0.301186134756575,0.01,0.159,9.63334564628502e-211,"HSC/MPP","AC007381.1"
4.3976256329567e-210,-0.385896173654861,0.076,0.251,1.05156024135261e-205,"HSC/MPP","ZHX2"
4.58314149430959e-208,-0.574561273448518,0.247,0.42,1.09592079411931e-203,"HSC/MPP","PRKCE"
5.19985049372308e-208,0.266202210248001,0.565,0.361,1.24338825005906e-203,"HSC/MPP","BEX3"
8.54531367210594e-208,-0.693543669185666,0.907,0.925,2.04335540527397e-203,"HSC/MPP","HMGB1"
5.30356258606575e-207,-0.36300398512887,0.009,0.152,1.26818788558004e-202,"HSC/MPP","SLC8A1-AS1"
6.12007993476347e-207,-1.52861507826447,0.02,0.167,1.46343351400064e-202,"HSC/MPP","ELANE"
1.31444641416944e-206,0.254129303649765,0.463,0.263,3.14310426556196e-202,"HSC/MPP","SNTB1"
4.94494794526998e-206,-0.415291778215771,0.043,0.204,1.18243595267296e-201,"HSC/MPP","CSGALNACT1"
7.93611780830904e-204,-0.485960583311749,0.069,0.239,1.89768449032286e-199,"HSC/MPP","CRIP1"
8.4211993550153e-204,0.263786560299875,0.474,0.283,2.01367718977126e-199,"HSC/MPP","ARMH1"
